epoch,categorical_accuracy,loss
0,0.0,1.3852977752685547
1,0.33333334,1.3766179084777832
2,0.33333334,1.3673877716064453
3,0.33333334,1.3571406602859497
4,0.33333334,1.345584511756897
5,0.33333334,1.3328609466552734
6,0.33333334,1.3199013471603394
7,0.33333334,1.3081616163253784
8,0.33333334,1.2986642122268677
9,0.33333334,1.2897931337356567
10,0.33333334,1.27821683883667
11,0.33333334,1.2623848915100098
12,0.33333334,1.2440145015716553
13,0.41666666,1.2266560792922974
14,0.5833333,1.2106136083602905
15,0.5833333,1.1892307996749878
16,0.6666667,1.1591378450393677
17,0.5833333,1.1293190717697144
18,0.6666667,1.099432349205017
19,0.6666667,1.0572806596755981
20,0.6666667,1.0206091403961182
21,0.6666667,0.9859168529510498
22,0.6666667,0.9509274363517761
23,0.6666667,0.9238157272338867
24,0.6666667,0.9011481404304504
25,0.6666667,0.8802469372749329
26,0.6666667,0.8603081107139587
27,0.6666667,0.8403153419494629
28,0.6666667,0.8184669613838196
29,0.6666667,0.7975786328315735
30,0.6666667,0.7788028717041016
31,0.75,0.7612760663032532
32,0.75,0.7417790293693542
33,0.75,0.7249956130981445
34,0.6666667,0.7124526500701904
35,0.6666667,0.693756103515625
36,0.9166667,0.6765173077583313
37,0.8333333,0.652138888835907
38,0.6666667,0.6459196209907532
39,0.9166667,0.6178317666053772
40,1.0,0.6085972189903259
41,1.0,0.5870499014854431
42,0.9166667,0.5720573663711548
43,0.8333333,0.562676727771759
44,0.9166667,0.539954662322998
45,1.0,0.524451732635498
46,0.75,0.5294569134712219
47,0.75,0.5379721522331238
48,1.0,0.4885081350803375
49,1.0,0.5380738377571106
